B1_004,B3_008,F_020,L1_002,M_B1,M_F,M_L1,B1_003,B2_005,F_019,M_B2,L1_001,B2_006
-0.581367,-0.60347,-0.5791,-0.594832,-0.540853,-0.5360625,-0.540566,-0.500339,-0.489864,-0.493025,-0.5333055,-0.4863,-0.576747
-0.87205,-0.905205,-0.86865,-0.892248,-1.0614485,-1.0506065,-1.0539995,-1.250847,-1.224661,-1.232563,-1.0448905,-1.215751,-0.86512
-1.453417,-1.508674,-1.44775,-1.48708,-1.727386,-1.709925,-1.7161405,-2.001355,-1.959458,-1.9721,-1.7006625,-1.945201,-1.441867
-2.325467,-2.413879,-2.316399,-2.379328,-2.163411,-2.1442495,-2.1622645,-2.001355,-1.959458,-1.9721,-2.1332225,-1.945201,-2.306987
-2.616151,-2.715614,-2.605949,-2.676744,-2.5589225,-2.5355375,-2.554123,-2.501694,-2.449322,-2.465126,-2.522341,-2.431502,-2.59536
-1.744101,-1.810409,-1.737299,-1.784496,-2.247982,-2.2244685,-2.229574,-2.751863,-2.694255,-2.711638,-2.2122475,-2.674652,-1.73024
-0.87205,-0.905205,-0.86865,-0.892248,-1.4367025,-1.420375,-1.4187245,-2.001355,-1.959458,-1.9721,-1.412289,-1.945201,-0.86512
-0.581367,-0.60347,-0.5791,-0.594832,-1.1662765,-1.152344,-1.1484415,-1.751186,-1.714526,-1.725588,-1.1456365,-1.702051,-0.576747
0.872051,0.905204,0.86865,0.892247,-0.189398,-0.1819565,-0.161752,-1.250847,-1.224661,-1.232563,-0.1797705,-1.215751,0.86512
0.290684,0.301735,0.28955,0.297415,-0.229912,-0.2249935,-0.2160175,-0.750508,-0.734797,-0.739537,-0.2232115,-0.72945,0.288374
-0.581367,-0.60347,-0.5791,-0.594832,-0.916107,-0.9058315,-0.9052915,-1.250847,-1.224661,-1.232563,-0.900704,-1.215751,-0.576747
-0.581367,-0.60347,-0.5791,-0.594832,-1.291361,-1.2756,-1.2700165,-2.001355,-1.959458,-1.9721,-1.2681025,-1.945201,-0.576747
0.290684,0.301735,0.28955,0.297415,-0.730251,-0.718019,-0.702318,-1.751186,-1.714526,-1.725588,-0.713076,-1.702051,0.288374
0.290684,0.301735,0.28955,0.297415,-0.605166,-0.5947625,-0.580743,-1.501016,-1.469593,-1.479075,-0.5906095,-1.458901,0.288374
0.581367,0.60347,0.5791,0.594831,-0.4598245,-0.4499875,-0.432035,-1.501016,-1.469593,-1.479075,-0.446423,-1.458901,0.576747
0.581367,0.60347,0.5791,0.594831,-0.5849095,-0.573244,-0.55361,-1.751186,-1.714526,-1.725588,-0.5688895,-1.702051,0.576747
-0.581367,-0.60347,-0.5791,-0.594832,-0.916107,-0.9058315,-0.9052915,-1.250847,-1.224661,-1.232563,-0.900704,-1.215751,-0.576747
-1.453417,-1.508674,-1.44775,-1.48708,-1.727386,-1.709925,-1.7161405,-2.001355,-1.959458,-1.9721,-1.7006625,-1.945201,-1.441867
-1.744101,-1.810409,-1.737299,-1.784496,-1.7476435,-1.7314435,-1.7432735,-1.751186,-1.714526,-1.725588,-1.722383,-1.702051,-1.73024
-2.616151,-2.715614,-2.605949,-2.676744,-2.684007,-2.6587935,-2.675698,-2.751863,-2.694255,-2.711638,-2.6448075,-2.674652,-2.59536
-2.616151,-2.715614,-2.605949,-2.676744,-2.809092,-2.78205,-2.797273,-3.002033,-2.939187,-2.958151,-2.7672735,-2.917802,-2.59536
-2.906834,-3.017348,-2.895499,-2.974159,-3.079518,-3.0500815,-3.0675555,-3.252202,-3.184119,-3.204664,-3.0339265,-3.160952,-2.883734
-4.360252,-4.526023,-4.343249,-4.461239,-3.931312,-3.8972125,-3.9326705,-3.502372,-3.429051,-3.451176,-3.877326,-3.404102,-4.325601
-4.941618,-5.129492,-4.922348,-5.056071,-4.722334,-4.6797875,-4.716387,-4.50305,-4.40878,-4.437227,-4.655564,-4.376703,-4.902348
-4.650935,-4.827758,-4.632799,-4.758655,-4.702077,-4.658269,-4.689254,-4.753219,-4.653713,-4.683739,-4.6338435,-4.619853,-4.613974
-3.778885,-3.922553,-3.764149,-3.866407,-4.266052,-4.223944,-4.24313,-4.753219,-4.653713,-4.683739,-4.2012835,-4.619853,-3.748854
-4.069568,-4.224288,-3.764149,-3.866407,-5.021003,-4.6654955,-4.78331,-5.972438,-5.531154,-5.566842,-4.640004,-5.700213,-3.748854
-4.069568,-4.224288,-3.764149,-3.866407,-5.021003,-4.6654955,-4.78331,-5.972438,-5.531154,-5.566842,-4.640004,-5.700213,-3.748854
-4.360251,-4.526023,-4.053699,-4.163823,-5.1663445,-4.8102705,-4.932018,-5.972438,-5.531154,-5.566842,-4.784191,-5.700213,-4.037228
-5.232301,-5.431228,-4.922349,-5.056071,-5.852539,-5.491108,-5.621292,-6.472777,-6.021019,-6.059867,-5.4616835,-6.186513,-4.902348
-6.976402,-7.241637,-6.659648,-6.840566,-7.224928,-6.852783,-6.99984,-7.473454,-7.000748,-7.045918,-6.816668,-7.159114,-6.632588
-7.267086,-7.543372,-6.949198,-7.137982,-7.7455245,-7.367327,-7.5132735,-8.223963,-7.735544,-7.785456,-7.328253,-7.888565,-6.920962
-8.429819,-8.750311,-8.107398,-8.327646,-8.57706,-8.1929395,-8.3512555,-8.724301,-8.225409,-8.278481,-8.149932,-8.374865,-8.074455
-8.720503,-9.052046,-8.396948,-8.625062,-8.722402,-8.3377145,-8.4999635,-8.724301,-8.225409,-8.278481,-8.294119,-8.374865,-8.362829
-9.30187,-9.655516,-8.976047,-9.219894,-9.5134245,-9.120289,-9.28368,-9.724979,-9.205138,-9.264531,-9.072357,-9.347466,-8.939576
-10.17392,-10.56072,-9.844697,-10.112141,-10.199619,-9.8011265,-9.9729535,-10.225318,-9.695002,-9.757556,-9.749849,-9.833766,-9.804696
