Date,B1_004,B2_006,B3_008,F_020,L1_002,M_B1,M_B2,M_F,M_L1,B1_003,B2_005,F_019,L1_001
2016/6/19,-0.581367,-0.576747,-0.60347,-0.5791,-0.594832,-0.540853,-0.5333055,-0.5360625,-0.540566,-0.500339,-0.489864,-0.493025,-0.4863
2016/6/20,-0.87205,-0.86512,-0.905205,-0.86865,-0.892248,-1.0614485,-1.0448905,-1.0506065,-1.0539995,-1.250847,-1.224661,-1.232563,-1.215751
2016/6/21,-1.453417,-1.441867,-1.508674,-1.44775,-1.48708,-1.727386,-1.7006625,-1.709925,-1.7161405,-2.001355,-1.959458,-1.9721,-1.945201
2016/6/22,-2.325467,-2.306987,-2.413879,-2.316399,-2.379328,-2.163411,-2.1332225,-2.1442495,-2.1622645,-2.001355,-1.959458,-1.9721,-1.945201
2016/6/23,-2.616151,-2.59536,-2.715614,-2.605949,-2.676744,-2.5589225,-2.522341,-2.5355375,-2.554123,-2.501694,-2.449322,-2.465126,-2.431502
2016/6/24,-1.744101,-1.73024,-1.810409,-1.737299,-1.784496,-2.247982,-2.2122475,-2.2244685,-2.229574,-2.751863,-2.694255,-2.711638,-2.674652
2016/6/25,-0.87205,-0.86512,-0.905205,-0.86865,-0.892248,-1.4367025,-1.412289,-1.420375,-1.4187245,-2.001355,-1.959458,-1.9721,-1.945201
2016/6/26,-0.581367,-0.576747,-0.60347,-0.5791,-0.594832,-1.1662765,-1.1456365,-1.152344,-1.1484415,-1.751186,-1.714526,-1.725588,-1.702051
2016/6/28,0.872051,0.86512,0.905204,0.86865,0.892247,-0.189398,-0.1797705,-0.1819565,-0.161752,-1.250847,-1.224661,-1.232563,-1.215751
2016/6/29,0.290684,0.288374,0.301735,0.28955,0.297415,-0.229912,-0.2232115,-0.2249935,-0.2160175,-0.750508,-0.734797,-0.739537,-0.72945
2016/6/30,-0.581367,-0.576747,-0.60347,-0.5791,-0.594832,-0.916107,-0.900704,-0.9058315,-0.9052915,-1.250847,-1.224661,-1.232563,-1.215751
2016/7/1,-0.581367,-0.576747,-0.60347,-0.5791,-0.594832,-1.291361,-1.2681025,-1.2756,-1.2700165,-2.001355,-1.959458,-1.9721,-1.945201
2016/7/2,0.290684,0.288374,0.301735,0.28955,0.297415,-0.730251,-0.713076,-0.718019,-0.702318,-1.751186,-1.714526,-1.725588,-1.702051
2016/7/3,0.290684,0.288374,0.301735,0.28955,0.297415,-0.605166,-0.5906095,-0.5947625,-0.580743,-1.501016,-1.469593,-1.479075,-1.458901
2016/7/4,0.581367,0.576747,0.60347,0.5791,0.594831,-0.4598245,-0.446423,-0.4499875,-0.432035,-1.501016,-1.469593,-1.479075,-1.458901
2016/7/5,0.581367,0.576747,0.60347,0.5791,0.594831,-0.5849095,-0.5688895,-0.573244,-0.55361,-1.751186,-1.714526,-1.725588,-1.702051
2016/7/7,-0.581367,-0.576747,-0.60347,-0.5791,-0.594832,-0.916107,-0.900704,-0.9058315,-0.9052915,-1.250847,-1.224661,-1.232563,-1.215751
2016/7/8,-1.453417,-1.441867,-1.508674,-1.44775,-1.48708,-1.727386,-1.7006625,-1.709925,-1.7161405,-2.001355,-1.959458,-1.9721,-1.945201
2016/7/9,-1.744101,-1.73024,-1.810409,-1.737299,-1.784496,-1.7476435,-1.722383,-1.7314435,-1.7432735,-1.751186,-1.714526,-1.725588,-1.702051
2016/7/10,-2.616151,-2.59536,-2.715614,-2.605949,-2.676744,-2.684007,-2.6448075,-2.6587935,-2.675698,-2.751863,-2.694255,-2.711638,-2.674652
2016/7/11,-2.616151,-2.59536,-2.715614,-2.605949,-2.676744,-2.809092,-2.7672735,-2.78205,-2.797273,-3.002033,-2.939187,-2.958151,-2.917802
2016/7/12,-2.906834,-2.883734,-3.017348,-2.895499,-2.974159,-3.079518,-3.0339265,-3.0500815,-3.0675555,-3.252202,-3.184119,-3.204664,-3.160952
2016/7/13,-4.360252,-4.325601,-4.526023,-4.343249,-4.461239,-3.931312,-3.877326,-3.8972125,-3.9326705,-3.502372,-3.429051,-3.451176,-3.404102
2016/7/14,-4.941618,-4.902348,-5.129492,-4.922348,-5.056071,-4.722334,-4.655564,-4.6797875,-4.716387,-4.50305,-4.40878,-4.437227,-4.376703
2016/7/15,-4.650935,-4.613974,-4.827758,-4.632799,-4.758655,-4.702077,-4.6338435,-4.658269,-4.689254,-4.753219,-4.653713,-4.683739,-4.619853
2016/7/16,-3.778885,-3.748854,-3.922553,-3.764149,-3.866407,-4.266052,-4.2012835,-4.223944,-4.24313,-4.753219,-4.653713,-4.683739,-4.619853
2016/7/17,-4.069568,-3.748854,-4.224288,-3.764149,-3.866407,-5.021003,-4.640004,-4.6654955,-4.78331,-5.972438,-5.531154,-5.566842,-5.700213
2016/7/18,-4.069568,-3.748854,-4.224288,-3.764149,-3.866407,-5.021003,-4.640004,-4.6654955,-4.78331,-5.972438,-5.531154,-5.566842,-5.700213
2016/7/19,-4.360251,-4.037228,-4.526023,-4.053699,-4.163823,-5.1663445,-4.784191,-4.8102705,-4.932018,-5.972438,-5.531154,-5.566842,-5.700213
2016/7/20,-5.232301,-4.902348,-5.431228,-4.922349,-5.056071,-5.852539,-5.4616835,-5.491108,-5.621292,-6.472777,-6.021019,-6.059867,-6.186513
2016/7/21,-6.976402,-6.632588,-7.241637,-6.659648,-6.840566,-7.224928,-6.816668,-6.852783,-6.99984,-7.473454,-7.000748,-7.045918,-7.159114
2016/7/22,-7.267086,-6.920962,-7.543372,-6.949198,-7.137982,-7.7455245,-7.328253,-7.367327,-7.5132735,-8.223963,-7.735544,-7.785456,-7.888565
2016/7/23,-8.429819,-8.074455,-8.750311,-8.107398,-8.327646,-8.57706,-8.149932,-8.1929395,-8.3512555,-8.724301,-8.225409,-8.278481,-8.374865
2016/7/24,-8.720503,-8.362829,-9.052046,-8.396948,-8.625062,-8.722402,-8.294119,-8.3377145,-8.4999635,-8.724301,-8.225409,-8.278481,-8.374865
2016/7/25,-9.30187,-8.939576,-9.655516,-8.976047,-9.219894,-9.5134245,-9.072357,-9.120289,-9.28368,-9.724979,-9.205138,-9.264531,-9.347466
2016/7/26,-10.17392,-9.804696,-10.56072,-9.844697,-10.112141,-10.199619,-9.749849,-9.8011265,-9.9729535,-10.225318,-9.695002,-9.757556,-9.833766
2016/7/27,-10.464604,-10.093069,-10.862455,-10.134247,-10.409557,-10.720215,-10.261434,-10.3156705,-10.486387,-10.975826,-10.429799,-10.497094,-10.563217
2016/7/28,-11.627337,-11.246563,-12.069394,-11.292447,-11.599221,-11.551751,-11.0831135,-11.141283,-11.324369,-11.476165,-10.919664,-10.990119,-11.049517
2016/7/29,-11.918021,-11.534936,-12.371129,-11.581997,-11.896637,-11.9472625,-11.472232,-11.532571,-11.716227,-11.976504,-11.409528,-11.483145,-11.535817
2016/7/30,-12.499388,-12.111683,-12.974599,-12.161096,-12.491468,-12.237946,-11.7606055,-11.8221205,-12.0136425,-11.976504,-11.409528,-11.483145,-11.535817
2016/7/31,-12.790071,-12.400056,-13.276334,-12.450646,-12.788884,-12.7585415,-12.2721905,-12.3366645,-12.527076,-12.727012,-12.144325,-12.222683,-12.265268
2016/8/1,-12.790071,-12.400056,-13.276334,-12.450646,-12.788884,-12.8836265,-12.3946565,-12.4599205,-12.648651,-12.977182,-12.389257,-12.469195,-12.508418
2016/8/2,-12.499388,-12.111683,-12.974599,-12.161096,-12.491468,-12.9884545,-12.4954025,-12.561658,-12.743093,-13.477521,-12.879122,-12.96222,-12.994718
2016/8/3,-11.627337,-11.246563,-12.069394,-11.292447,-11.599221,-12.3022595,-11.81791,-11.880821,-12.0538195,-12.977182,-12.389257,-12.469195,-12.508418
2016/8/4,-11.336654,-10.958189,-11.767659,-11.002897,-11.301805,-11.9067485,-11.428791,-11.4895335,-11.6619615,-12.476843,-11.899393,-11.97617,-12.022118
2016/8/9,-11.627337,-11.246563,-12.069394,-11.292447,-11.599221,-12.05209,-11.572978,-11.6343085,-11.8106695,-12.476843,-11.899393,-11.97617,-12.022118
2016/8/10,-11.627337,-11.246563,-12.069394,-11.292447,-11.599221,-11.927005,-11.4505115,-11.511052,-11.689094,-12.226673,-11.65446,-11.729657,-11.778967
2016/8/11,-11.918021,-11.534936,-12.371129,-11.581997,-11.896637,-12.3225165,-11.8396305,-11.90234,-12.0809525,-12.727012,-12.144325,-12.222683,-12.265268
2016/8/12,-12.208704,-11.82331,-12.672864,-11.871546,-12.194053,-12.467858,-11.9838175,-12.0471145,-12.2296605,-12.727012,-12.144325,-12.222683,-12.265268
2016/8/13,-13.080755,-12.68843,-13.578069,-12.740196,-13.0863,-13.154053,-12.6613095,-12.727952,-12.918934,-13.227351,-12.634189,-12.715708,-12.751568
2016/8/14,-13.080755,-12.68843,-13.578069,-12.740196,-13.0863,-13.4042225,-12.906242,-12.9744645,-13.162084,-13.72769,-13.124054,-13.208733,-13.237868
2016/8/15,-13.662122,-13.265177,-14.181538,-13.319296,-13.681132,-13.694906,-13.1946155,-13.2640145,-13.4595,-13.72769,-13.124054,-13.208733,-13.237868
2016/8/16,-13.952805,-13.55355,-14.483273,-13.608846,-13.978548,-14.090417,-13.583734,-13.655302,-13.8513585,-14.228029,-13.613918,-13.701758,-13.724169
2016/8/17,-13.952805,-13.55355,-14.483273,-13.608846,-13.978548,-14.090417,-13.583734,-13.655302,-13.8513585,-14.228029,-13.613918,-13.701758,-13.724169
2016/8/18,-14.243488,-13.841923,-14.785007,-13.898395,-14.275964,-14.6110125,-14.095319,-14.1698455,-14.3647915,-14.978537,-14.348715,-14.441296,-14.453619
2016/8/19,-14.243488,-13.841923,-14.785007,-13.898395,-14.275964,-14.4859275,-13.9728525,-14.046589,-14.2432165,-14.728367,-14.103782,-14.194783,-14.210469
2016/8/20,-14.824855,-14.41867,-15.388477,-14.477495,-14.870796,-15.1518655,-14.6286245,-14.705908,-14.905358,-15.478876,-14.838579,-14.934321,-14.93992
2016/8/21,-14.243488,-13.841923,-14.785007,-13.898395,-14.275964,-14.861182,-14.340251,-14.416358,-14.607942,-15.478876,-14.838579,-14.934321,-14.93992
