B1_004,B2_006,B3_008,B6_014,B7_016,F_020,L1_002,L2_018,M_B1,M_B2,M_B3,M_B6,M_L1,M_L2,B1_003,B2_005,B3_007,B6_013,F_019,L1_001,L2_017,M_F
-0.566085,-0.585997,-0.551753,-0.602599,-0.603665,-0.599697,-0.585469,-0.585455,-0.446827,-0.4561265,-0.440805,-0.468641,-0.458106,-0.4620895,-0.327569,-0.326256,-0.329857,-0.334683,-0.339334,-0.330743,-0.338724,-0.4695155
-0.849128,-0.878996,-0.827629,-0.903899,-0.905498,-0.899545,-0.878203,-0.878183,-0.8340245,-0.847318,-0.8261365,-0.8703035,-0.8525305,-0.862497,-0.818921,-0.81564,-0.824644,-0.836708,-0.848335,-0.826858,-0.846811,-0.87394
-1.415213,-1.464994,-1.379382,-1.506498,-1.509163,-1.499241,-1.463672,-1.463638,-1.362743,-1.3850095,-1.349406,-1.4226155,-1.3933225,-1.4092675,-1.310273,-1.305025,-1.31943,-1.338733,-1.357336,-1.322973,-1.354897,-1.4282885
-2.264341,-2.34399,-2.207011,-2.410397,-2.414661,-2.398786,-2.341876,-2.341821,-1.787307,-1.8245075,-1.7632205,-1.874565,-1.8324245,-1.848359,-1.310273,-1.305025,-1.31943,-1.338733,-1.357336,-1.322973,-1.354897,-1.878061
-2.547383,-2.636989,-2.482887,-2.711697,-2.716494,-2.698635,-2.63461,-2.634549,-2.0926125,-2.134135,-2.066087,-2.1925565,-2.1441635,-2.164085,-1.637842,-1.631281,-1.649287,-1.673416,-1.69667,-1.653717,-1.693621,-2.1976525
-1.698256,-1.757993,-1.655258,-1.807798,-1.810996,-1.79909,-1.756407,-1.756366,-1.749941,-1.776201,-1.734737,-1.8242775,-1.7877475,-1.8096745,-1.801626,-1.794409,-1.814216,-1.840757,-1.866337,-1.819088,-1.862983,-1.8327135
-0.849128,-0.878996,-0.827629,-0.903899,-0.905498,-0.899545,-0.878203,-0.878183,-1.0797005,-1.0920105,-1.0735295,-1.121316,-1.100588,-1.11654,-1.310273,-1.305025,-1.31943,-1.338733,-1.357336,-1.322973,-1.354897,-1.1284405
-0.566085,-0.585997,-0.551753,-0.602599,-0.603665,-0.599697,-0.585469,-0.585455,-0.856287,-0.863947,-0.853127,-0.886995,-0.8715355,-0.885495,-1.146489,-1.141897,-1.154501,-1.171391,-1.187669,-1.157602,-1.185535,-0.893683
0.849128,0.878997,0.827629,0.903899,0.905498,0.899545,0.878204,0.878183,0.0151035,0.0316785,0.0014925,0.0335955,0.025673,0.015686,-0.818921,-0.81564,-0.824644,-0.836708,-0.848335,-0.826858,-0.846811,0.025605
0.283042,0.292999,0.275876,0.301299,0.301833,0.299848,0.292735,0.292727,-0.1041555,-0.0981925,-0.109455,-0.1003625,-0.10169,-0.1076795,-0.491353,-0.489384,-0.494786,-0.502024,-0.509001,-0.496115,-0.508086,-0.1045765
-0.566085,-0.585997,-0.551753,-0.602599,-0.603665,-0.599697,-0.585469,-0.585455,-0.692503,-0.7008185,-0.6881985,-0.7196535,-0.7061635,-0.716133,-0.818921,-0.81564,-0.824644,-0.836708,-0.848335,-0.826858,-0.846811,-0.724016
-0.566085,-0.585997,-0.551753,-0.602599,-0.603665,-0.599697,-0.585469,-0.585455,-0.938179,-0.945511,-0.9355915,-0.970666,-0.954221,-0.970176,-1.310273,-1.305025,-1.31943,-1.338733,-1.357336,-1.322973,-1.354897,-0.9785165
0.283042,0.292999,0.275876,0.301299,0.301833,0.299848,0.292735,0.292727,-0.4317235,-0.424449,-0.4393125,-0.435046,-0.4324335,-0.446404,-1.146489,-1.141897,-1.154501,-1.171391,-1.187669,-1.157602,-1.185535,-0.4439105
0.283042,0.292999,0.275876,0.301299,0.301833,0.299848,0.292735,0.292727,-0.3498315,-0.3428845,-0.356848,-0.351375,-0.3497475,-0.361723,-0.982705,-0.978768,-0.989572,-1.004049,-1.018002,-0.99223,-1.016173,-0.359077
0.566085,0.585998,0.551752,0.602599,0.603666,0.599697,0.585469,0.585455,-0.20831,-0.196385,-0.21891,-0.200725,-0.2033805,-0.215359,-0.982705,-0.978768,-0.989572,-1.004049,-1.018002,-0.99223,-1.016173,-0.2091525
0.566085,0.585998,0.551752,0.602599,0.603666,0.599697,0.585469,0.585455,-0.290202,-0.2779495,-0.3013745,-0.284396,-0.2860665,-0.30004,-1.146489,-1.141897,-1.154501,-1.171391,-1.187669,-1.157602,-1.185535,-0.293986
-0.566085,-0.585997,-0.551753,-0.602599,-0.603665,-0.599697,-0.585469,-0.585455,-0.692503,-0.7008185,-0.6881985,-0.7196535,-0.7061635,-0.716133,-0.818921,-0.81564,-0.824644,-0.836708,-0.848335,-0.826858,-0.846811,-0.724016
-1.415213,-1.464994,-1.379382,-1.506498,-1.509163,-1.499241,-1.463672,-1.463638,-1.362743,-1.3850095,-1.349406,-1.4226155,-1.3933225,-1.4092675,-1.310273,-1.305025,-1.31943,-1.338733,-1.357336,-1.322973,-1.354897,-1.4282885
-1.698256,-1.757993,-1.655258,-1.807798,-1.810996,-1.79909,-1.756407,-1.756366,-1.4223725,-1.449945,-1.4048795,-1.4895945,-1.4570045,-1.4709505,-1.146489,-1.141897,-1.154501,-1.171391,-1.187669,-1.157602,-1.185535,-1.4933795
-2.547383,-2.636989,-2.482887,-2.711697,-2.716494,-2.698635,-2.63461,-2.634549,-2.1745045,-2.215699,-2.1485515,-2.276227,-2.226849,-2.248766,-1.801626,-1.794409,-1.814216,-1.840757,-1.866337,-1.819088,-1.862983,-2.282486
-2.547383,-2.636989,-2.482887,-2.711697,-2.716494,-2.698635,-2.63461,-2.634549,-2.2563965,-2.297263,-2.231016,-2.359898,-2.309535,-2.333447,-1.96541,-1.957537,-1.979145,-2.008099,-2.036004,-1.98446,-2.032345,-2.3673195
-2.830426,-2.929988,-2.758763,-3.012997,-3.018327,-2.998483,-2.927345,-2.927276,-2.47981,-2.525327,-2.4514185,-2.594219,-2.5385885,-2.564492,-2.129194,-2.120666,-2.144074,-2.175441,-2.205671,-2.149832,-2.201708,-2.602077
-4.245639,-4.394982,-4.138145,-4.519495,-4.52749,-4.497725,-4.391017,-4.390914,-3.2693085,-3.339388,-3.2235735,-3.4311385,-3.35311,-3.380992,-2.292978,-2.283794,-2.309002,-2.342782,-2.375338,-2.315203,-2.37107,-3.4365315
-4.811724,-4.98098,-4.689897,-5.122094,-5.131155,-5.097421,-4.976486,-4.97637,-3.8799195,-3.958643,-3.829307,-4.0671215,-3.976588,-4.012444,-2.948115,-2.936306,-2.968717,-3.012149,-3.054006,-2.97669,-3.048518,-4.0757135
-4.528681,-4.687981,-4.414021,-4.820794,-4.829323,-4.797573,-4.683752,-4.683642,-3.82029,-3.8937075,-3.7738335,-4.000142,-3.912907,-3.950761,-3.111899,-3.099434,-3.133646,-3.17949,-3.223673,-3.142062,-3.21788,-4.010623
-3.679554,-3.808985,-3.586392,-3.916895,-3.923825,-3.898028,-3.805548,-3.805459,-3.3957265,-3.4542095,-3.360019,-3.5481925,-3.473805,-3.5116695,-3.111899,-3.099434,-3.133646,-3.17949,-3.223673,-3.142062,-3.21788,-3.5608505
