B7_016,F_020,M_B7,B3_007,B7_015,F_019,M_F,L1_001
1.370005,0.204285,0.519975,0.740193,-0.330055,0.160302,0.1822935,-0.107789
1.370005,1.736422,0.822526,0.951676,0.275047,0.320604,1.028513,0.107788
1.896931,1.838565,1.2510165,0.740193,0.605102,0.694641,1.266603,0.26947
2.845396,2.04285,1.587726,0.845934,0.330056,1.122113,1.5824815,1.023988
2.529241,1.429995,2.0072455,0.898805,1.48525,1.122113,1.276054,0.808411
0.84308,1.940707,0.8341095,0.845934,0.825139,1.068679,1.504693,0.431152
1.896931,0.81714,1.058484,0.951676,0.220037,0.374038,0.595589,0.323364
0.316155,0.612855,0.488133,1.004547,0.660111,0.694641,0.653748,0.323364
0.948465,1.123567,0.309205,2.114836,-0.330055,0.213736,0.6686515,0.970094
1.896931,2.45142,1.140998,1.16316,0.385065,0.694641,1.5730305,0.754517
1.580776,1.429995,0.8453975,1.586127,0.110019,0.587773,1.008884,0.700623
1.26462,1.22571,0.6873195,1.797611,0.110019,-0.053434,0.586138,0.700623
0.84308,1.123567,0.6140725,2.009095,0.385065,0.427472,0.7755195,0.9162
0.737695,0.81714,0.20382,1.850482,-0.330055,0.694641,0.7558905,0.26947
0.316155,1.123567,0.295601,1.850482,0.275047,0.53434,0.8289535,0.754517
0.42154,1.021425,0.155761,1.956224,-0.110018,0.160302,0.5908635,-0.323365
0.63231,0.919282,0.4536785,1.638998,0.275047,0.106868,0.513075,0.592835
2.318471,1.123567,1.296759,1.691869,0.275047,0.641207,0.882387,0.592835
2.845396,1.940707,1.9727905,1.956224,1.100185,0.748075,1.344391,1.18567
2.107701,3.064275,1.3013925,1.480385,0.495084,0.587773,1.826024,1.455141
3.688477,1.327852,2.2843125,1.480385,0.880148,1.175547,1.2516995,0.862305
4.110017,2.553562,2.907652,1.903353,1.705287,1.282415,1.9179885,1.509035
4.320787,2.962132,2.7654955,2.167707,1.210204,1.389283,2.1757075,1.8324
3.056166,3.779272,2.408231,1.956224,1.760296,1.442717,2.6109945,1.455141
4.742327,5.757847,3.0312745,2.061966,1.320222,1.709887,3.733867,1.724611
6.075552,5.757847,3.697887,2.061966,1.320222,3.1096,4.4337235,3.459743
6.075552,5.757847,3.697887,2.061966,1.320222,3.1096,4.4337235,3.459743
6.075552,5.144992,4.0004375,2.590675,1.925323,3.1096,4.127296,3.729214
5.759397,6.26856,3.787351,2.114837,1.815305,3.37677,4.822665,3.459743
7.550943,5.757847,5.0131795,2.379192,2.475416,3.64394,4.7008935,3.837002
8.288638,6.064275,5.4095315,2.590675,2.530425,3.697374,4.8808245,3.837002
7.761713,7.392127,5.311097,2.484934,2.860481,3.64394,5.5180335,4.214261
9.131719,7.0857,6.188632,3.013643,3.245545,4.338581,5.7121405,4.807096
9.026334,7.800697,6.4934995,3.330868,3.960665,4.178279,5.989488,5.238249
10.712495,8.413552,7.4465985,3.43661,4.180702,5.140091,6.7768215,4.59152
12.187885,8.107125,8.1292845,3.172256,4.070684,4.552317,6.329721,5.615508
12.504041,9.741405,8.7824455,3.330868,5.06085,4.605751,7.173578,5.831085
12.925581,9.94569,8.9932155,3.489481,5.06085,5.727864,7.836777,6.208343
12.187885,10.252117,8.8169,3.806707,5.445915,5.834732,8.0434245,5.884979
13.136351,10.864972,9.6211885,4.123932,6.106026,6.155336,8.510154,6.370026
11.977115,9.741405,8.876543,4.01819,5.775971,6.47594,8.1086725,6.154449
12.925581,10.76283,9.5708125,4.01819,6.216044,5.9416,8.352215,7.016755
13.452506,10.864972,9.999303,4.229674,6.5461,5.9416,8.403286,6.585602
13.663276,10.660687,9.747128,4.494028,5.83098,5.9416,8.3011435,6.693391
12.504041,10.967115,9.0849965,5.075609,5.665952,6.636242,8.8016785,7.394014
13.136351,11.375685,9.51117,5.075609,5.885989,6.529374,8.9525295,6.962861
13.136351,10.76283,9.4011515,5.075609,5.665952,6.422506,8.592668,7.016755
14.295587,11.375685,10.2558155,4.758383,6.216044,5.995034,8.6853595,7.447908
13.663276,10.456402,9.93966,5.128479,6.216044,6.582808,8.519605,7.825167
13.979431,11.375685,10.235261,5.234221,6.491091,6.956845,9.166265,7.825167
14.400972,11.375685,10.5010405,4.969867,6.601109,6.74311,9.0593975,7.555697
14.400972,11.375685,10.55605,5.551447,6.711128,7.277449,9.326567,7.663485
14.400972,13.31447,10.55605,5.551447,6.711128,7.277449,10.2959595,7.663485
13.347121,13.927325,10.304171,5.710059,7.261221,7.063713,10.495519,7.771273
13.557892,14.54018,10.6295935,5.657189,7.701295,7.277449,10.9088145,8.202426
